训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep16 train loss 0.6805 acc 0.0039 | val 头内Δacc +0.0048 **全局Δacc -0.0023** | alpha 0.0523
  ep17 train loss 0.6802 acc 0.0041 | val 头内Δacc +0.0049 **全局Δacc -0.0023** | alpha 0.0524
  ep18 train loss 0.6784 acc 0.0042 | val 头内Δacc +0.0048 **全局Δacc -0.0026** | alpha 0.0526
  ep19 train loss 0.6802 acc 0.0043 | val 头内Δacc +0.0048 **全局Δacc -0.0026** | alpha 0.0527
  ep20 train loss 0.6789 acc 0.0044 | val 头内Δacc +0.0049 **全局Δacc -0.0020** | alpha 0.0528
  ep21 train loss 0.6815 acc 0.0044 | val 头内Δacc +0.0049 **全局Δacc -0.0020** | alpha 0.0530
  ep22 train loss 0.6795 acc 0.0044 | val 头内Δacc +0.0050 **全局Δacc -0.0017** | alpha 0.0531
  ep23 train loss 0.6795 acc 0.0044 | val 头内Δacc +0.0048 **全局Δacc -0.0020** | alpha 0.0533
  ep24 train loss 0.6808 acc 0.0046 | val 头内Δacc +0.0049 **全局Δacc -0.0017** | alpha 0.0534
  ep25 train loss 0.6798 acc 0.0047 | val 头内Δacc +0.0051 **全局Δacc -0.0020** | alpha 0.0535
  ep26 train loss 0.6805 acc 0.0046 | val 头内Δacc +0.0051 **全局Δacc -0.0017** | alpha 0.0537
  ep27 train loss 0.6800 acc 0.0048 | val 头内Δacc +0.0052 **全局Δacc -0.0017** | alpha 0.0538
  ep28 train loss 0.6785 acc 0.0050 | val 头内Δacc +0.0052 **全局Δacc -0.0014** | alpha 0.0539
  ep29 train loss 0.6800 acc 0.0047 | val 头内Δacc +0.0053 **全局Δacc -0.0017** | alpha 0.0541
  ep30 train loss 0.6797 acc 0.0048 | val 头内Δacc +0.0052 **全局Δacc -0.0017** | alpha 0.0542
  ep31 train loss 0.6799 acc 0.0049 | val 头内Δacc +0.0051 **全局Δacc -0.0020** | alpha 0.0544
  ep32 train loss 0.6774 acc 0.0048 | val 头内Δacc +0.0051 **全局Δacc -0.0014** | alpha 0.0545
  ep33 train loss 0.6804 acc 0.0049 | val 头内Δacc +0.0053 **全局Δacc -0.0017** | alpha 0.0547
  ep34 train loss 0.6788 acc 0.0052 | val 头内Δacc +0.0055 **全局Δacc -0.0017** | alpha 0.0548
  ep35 train loss 0.6794 acc 0.0052 | val 头内Δacc +0.0056 **全局Δacc -0.0017** | alpha 0.0549
  ep36 train loss 0.6792 acc 0.0053 | val 头内Δacc +0.0056 **全局Δacc -0.0017** | alpha 0.0551
